Date,IOCJ Weekly shipment
11/8/2019,406.1
18/8/2019,409.5
25/8/2019,428.7
1/9/2019,379.7
8/9/2019,339.2
15/9/2019,391.1
22/9/2019,379.6
29/9/2019,387.7
6/10/2019,390.2
13/10/2019,317.5
20/10/2019,335.6
27/10/2019,428.5
3/11/2019,381
10/11/2019,423
17/11/2019,368.5
24/11/2019,394.7
1/12/2019,322.8
8/12/2019,302.6
15/12/2019,365.1
22/12/2019,336.8
29/12/2019,346.7
5/1/2020,280.2
12/1/2020,243.8
19/1/2020,274.6
26/1/2020,314.3
2/2/2020,328.2
9/2/2020,297.1
16/2/2020,268.9
23/2/2020,269.3
1/3/2020,350.5
8/3/2020,183.9
15/3/2020,197.9
22/3/2020,276.2
29/3/2020,279.4
5/4/2020,324.7
12/4/2020,271.3
19/4/2020,345.7
26/4/2020,251.6
3/5/2020,281.6
10/5/2020,209.4
17/5/2020,217.4
24/5/2020,277.3
31/5/2020,308.6
7/6/2020,360.9
14/6/2020,399.3
21/6/2020,330
28/6/2020,429.3
5/7/2020,373.9
12/7/2020,336.2
19/7/2020,374.5
26/7/2020,385.6
2/8/2020,390
9/8/2020,353.8
16/8/2020,406.5
23/8/2020,398.1
30/8/2020,479
6/9/2020,337.4
13/9/2020,483.2
20/9/2020,361.6
27/9/2020,430.2
4/10/2020,418.6
11/10/2020,458.6
18/10/2020,424.8
25/10/2020,389.7
1/11/2020,438.4
8/11/2020,327.1
15/11/2020,388.5
22/11/2020,356.9
29/11/2020,467.3
6/12/2020,300.3
13/12/2020,391.2
20/12/2020,362.3
27/12/2020,412.2
3/1/2021,422.8
10/1/2021,229.6
17/1/2021,437.2
24/1/2021,281.1
31/1/2021,319
7/2/2021,304.7
14/2/2021,385.5
21/2/2021,245.5
28/2/2021,303.5
7/3/2021,300.6
14/3/2021,344.2
21/3/2021,209
28/3/2021,271.5
4/4/2021,311
11/4/2021,273.6
18/4/2021,336.1
25/4/2021,284.4
2/5/2021,296.8
9/5/2021,249.4
16/5/2021,239.2
23/5/2021,292.4
30/5/2021,282.1
6/6/2021,374.3
13/6/2021,342.9
20/6/2021,258.8
27/6/2021,367.5
4/7/2021,320.8
11/7/2021,278.2
18/7/2021,334.2
25/7/2021,325.7
1/8/2021,383
8/8/2021,323.4
15/8/2021,376.4
22/8/2021,387.1
29/8/2021,456
5/9/2021,381.2
12/9/2021,381.1
19/9/2021,365.1
26/9/2021,438.4
3/10/2021,427.4
10/10/2021,322.7
17/10/2021,404.2
24/10/2021,356.6
31/10/2021,303.1
7/11/2021,331.9
14/11/2021,320
21/11/2021,400.6
28/11/2021,385.7
5/12/2021,376.4
12/12/2021,283.8
19/12/2021,283
26/12/2021,367.3
2/1/2022,289.5
9/1/2022,273.4
16/1/2022,380.6
23/1/2022,303.3
30/1/2022,313.4
6/2/2022,205.9
13/2/2022,250.2
20/2/2022,234.5
27/2/2022,251.3
6/3/2022,315.6
13/3/2022,133.8
20/3/2022,198.2
27/3/2022,352
3/4/2022,189.8
10/4/2022,240.6
17/4/2022,291.1
24/4/2022,282.2
1/5/2022,311.2
8/5/2022,278
15/5/2022,182.9
22/5/2022,265.9
29/5/2022,218.3
5/6/2022,322.2
12/6/2022,328.5
19/6/2022,299
26/6/2022,370.9
3/7/2022,312.1
10/7/2022,298.5
17/7/2022,373.8
24/7/2022,252
31/7/2022,408.9
7/8/2022,390.7
14/8/2022,333.3
21/8/2022,365.2
28/8/2022,335.9
4/9/2022,454
11/9/2022,317.3
18/9/2022,329
25/9/2022,303.8
2/10/2022,344.2
9/10/2022,344.1
16/10/2022,294.3
23/10/2022,296.6
30/10/2022,383.2
6/11/2022,270.5
13/11/2022,349.4
20/11/2022,344.6
27/11/2022,312
4/12/2022,393
11/12/2022,284.7
18/12/2022,275.1
25/12/2022,370.6
1/1/2023,417.4
8/1/2023,275.4
15/1/2023,138.9
22/1/2023,272.3
29/1/2023,248
5/2/2023,199.7
12/2/2023,278.3
19/2/2023,192.7
26/2/2023,248.1
5/3/2023,216
12/3/2023,274.8
19/3/2023,203.3
26/3/2023,234
2/4/2023,219.1
9/4/2023,189.2
16/4/2023,253
23/4/2023,275.5
30/4/2023,284.9
7/5/2023,267.3
14/5/2023,244.1
21/5/2023,238.3
28/5/2023,311.6
4/6/2023,276.4
11/6/2023,355.9
18/6/2023,286.5
25/6/2023,382.3
2/7/2023,317.4
9/7/2023,331.8
16/7/2023,283.7
23/7/2023,340
30/7/2023,367.3
6/8/2023,316.2
13/8/2023,399.5
20/8/2023,381.1
27/8/2023,422.1
3/9/2023,358.9
10/9/2023,294.8
17/9/2023,427.2
24/9/2023,360.2
1/10/2023,437.1
8/10/2023,257.2
15/10/2023,320.2
22/10/2023,331.1
29/10/2023,333.2
5/11/2023,300.3
12/11/2023,256.5
19/11/2023,258.7
26/11/2023,320.4
3/12/2023,435.7
10/12/2023,320.6
17/12/2023,408.9
24/12/2023,365.8
31/12/2023,430
7/1/2024,177
14/1/2024,364.4
21/1/2024,276.6
28/1/2024,313.3
4/2/2024,281.5
11/2/2024,239.3
18/2/2024,280.6
25/2/2024,245.6
3/3/2024,289.5
10/3/2024,288.2
17/3/2024,253.9
24/3/2024,154
31/3/2024,358.3
7/4/2024,304.2
14/4/2024,172.7
21/4/2024,204.9
28/4/2024,245.1
5/5/2024,205.4
12/5/2024,294.4
19/5/2024,270.9
26/5/2024,332.6
2/6/2024,306.4
9/6/2024,234.3
16/6/2024,300.6
23/6/2024,362.1
30/6/2024,424.8
7/7/2024,361.6
14/7/2024,420.4
21/7/2024,248.7
28/7/2024,406.1
4/8/2024,287.3
11/8/2024,406.3
18/8/2024,388.5
25/8/2024,363.5
1/9/2024,386.3
8/9/2024,345.8
15/9/2024,400
22/9/2024,383.2
29/9/2024,313.8
6/10/2024,301.1
13/10/2024,437.1
20/10/2024,322.1
27/10/2024,372.6
3/11/2024,367
10/11/2024,333.5
17/11/2024,401.4
24/11/2024,325.6
1/12/2024,376
8/12/2024,195.1
15/12/2024,357.1
22/12/2024,329.1
29/12/2024,300.9
5/1/2025,331.9
12/1/2025,288.8
19/1/2025,162
26/1/2025,272.9
2/2/2025,175.5
9/2/2025,247.7
16/2/2025,133
23/2/2025,233.9
2/3/2025,316.3
9/3/2025,276.8
16/3/2025,133.8
23/3/2025,258.8
30/3/2025,275.5
6/4/2025,334.5
13/4/2025,325.5
20/4/2025,175.2
27/4/2025,293.5
4/5/2025,258.8
11/5/2025,226.3
18/5/2025,308.7
25/5/2025,356.1
1/6/2025,338.8
8/6/2025,291.6
15/6/2025,301.8
22/6/2025,358.2
29/6/2025,305.6
6/7/2025,281.8
13/7/2025,393.5
20/7/2025,333.4
27/7/2025,353
3/8/2025,337.2
10/8/2025,309.9
,
,
,
,
,
,
,
,
,
